Title,KruseID,Category,Workstream,ParentProjectName,Topic,Status,Description,ValueStatement,Audience,ProductOverview,ServiceTypes,ProjectManager,SOCOSponsor,DeployedTo,StakeholderDept,StakeholderRep,OriginatingOpCo,StartDate,EndDate,CompletionPct,TeamSize,MainLink,ParentLink,ChildLink,ParentProjectId,ChildProjectIds,RemovalReason
Major Equipment Request Application,TRN-0077,Transmission Analytics,Transmission,MERA,Grid Planning,In Development,Combination of application features across OpCos to develop a single outsystems app for majore equipment requests,"MERA combines equipment requests and inventory in a single unified application across three OpCos, allowing the process for ordering/tracking equipment to become more standardized and precise.","Project managers who submit major equipment requests (transformers, breakers). Technical Support Services who review, slot, and assign major equipment.","A centralized application built in OutSystems that handles equipment request intake, approvals, and tracking across APC, GPC, and MPC. Includes routing notifications, full lifecycle tracking, STOMP integration, persistent filters, and breaker issues/failure reports.",Application Development; Data Engineering; UX/UI Development,,Ryan Windom,APC,PD Field Ops,Ryan Windom,APC,,,90,4,,,,,,
ORCA Data Integration,TRN-XX22,Transmission Analytics,Transmission,ORCA Data Integration,Transmission,Done - Deployed without Maintenance,Adding in ORCA data to Gidb (the transmission database) to support various past projects and enable the quick processing of future ORCA data for other projects,,,,,,,APC,PDDA-T,Emily Boles,APC,,,,,,,,,,
PBI Performance Improvement,TRN-XXX2,Transmission Analytics,Transmission,PBI Performance Improvement,Performance,In Development,Improving the preformance to increase user adoption of dashboards,,,,,,,APC,AFT Strategic Transformation,Erica Williams,APC,,,,,,,,,,
PDDA KPIs,TRN-XXX8-1,Transmission Analytics,Transmission,PDDA KPIs,Performance,In Development,Assistance to Shane's KPI development,,,,,,,APC,PDDA,Shane Powell,APC,,,,,,,,,,
Planning Metered Loads,TRN-0041,Transmission Analytics,Transmission,Planning Metered Loads,Load Management,Scoping,Automating collection of metered loads for Planning groups for studies.,,,,,,,SCS,"TP West, APC Distribution Planning","SCS TP West, APC Distribution Planning",APC,,,,,TBD,,,,,
Project Managament Database Enhancement,TRN-0057,Transmission Analytics,Transmission,Project Managament Database Enhancement,,In Development,Converting direct connections to TEAMS/P6/STOMP to point to the gidb copy of the data for performance. This project will play into other projects such as Unifier and other PM initiatives.,,,,,,,,Project Management,"Connie Dye, Charles Howard",,,,,,,,,,,
Projection Survey / Workload Management Tool?,TRN-XX12,Transmission Analytics,Transmission,Projection Survey / Workload Management Tool?,Crew Workload,Request Received,GET FROM DAN,,,,,,,APC,Transmission Lines Services,Jeff Roper,APC,,,,,,,,,,
Projection Tool - APC,TRN-0040,Transmission Analytics,Transmission,Projection Tool - APC,Project Management Tools,Done - Deployed with Maintenance,Project spend by project through a better tool than Access. Will likely roll into TransFORM.,,,,,,,APC,Project Management,APC Project Management,APC,,,,,,,,,,
SCT Monthly Reliability Report Automation,TRN-0053,Transmission Analytics,Transmission,SCT Monthly Reliability Report Automation,,In Development,Looking to take the SCT process done by Tammy and automate it. She currently uses Access to validate STOMP data from the Opcos,Automates SCT monthly reliability reporting by replacing manual Access/Excel steps with a consistent data pipeline for SAIDI and SAIFI.,SCT Reliability and reporting teams.,"Adds structured OPCO and enterprise approvals with automated recalculation and full historical/YTD tracking. Leverages Python, SQL Server, Power Automate, and Databricks to streamline ingestion, processing, and publishing.",Data Automation; Data Engineering; ETL & Data Visualization,Bob Favre,Emily Boles,APC; GPC; MPC,,Tammy Norwood,APC,,,60,2,TBD,,,,,
SIA (Substation Integration and Automation) Dashboard,TRN-0026,Transmission Analytics,Transmission,SIA (Substation Integration and Automation) Dashboard,,In Development,A dashboard that combines all SIA equipment within substations,"A web app that improves visibility into asset location, status, and lifecycle details. Mobile friendly and accessible out in the field.",Substation engineers and field staff.,"Enhances inventory accuracy and substation equipment details. Reduces manual tracking error. Centralizes substation asset data into a single, maintainable source.",Application Development; Data Architecture,,Emily Boles,APC,SIA Team,Johnny Black,APC,,2024-12-01,85,2,SIA Dashboard,SIA Dashboard,,,,
SLOSH PBI,TRN-0027,Transmission Analytics,Transmission,SLOSH PBI,Risk Analysis,Done - Deployed with Maintenance,Dashboard showing substation flood risk geographically across APC Territory.,,,,,,,APC,Substation Civil Design,Joe Godwin,APC,,2025-01-31,,,https://app.powerbi.com/links/fDuCl_tksu?ctid=ca2e2d-1186-41a-8895-a4a252ebf17&pbi_source=linkShare,https://app.powerbi.com/links/fDuCl_tksu?ctid=ca2e2d-1186-41a-8895-a4a252ebf17&pbi_source=linkShare,,,,
SPCC Oil Containment Ratings PBI,TRN-0025,Transmission Analytics,Transmission,SPCC Oil Containment Ratings PBI,Risk Analysis,Done - Deployed with Maintenance,An dashboard showing risk of oil containments Peltz Followup: Talk with DannyB about closure/hand-off process,,,,,,,APC,"Environmental Affairs, Substation Civil Design","Paula Coker, Joe Godwin",APC,,2024-09-01,,,https://outsystems.southernco.com/SPCCRISK/,https://outsystems.southernco.com/SPCCRISK/,,,,
STOMP Data Integration,TRN-XX20,Transmission Analytics,Transmission,STOMP Data Integration,Transmission,Done - Deployed without Maintenance,Adding in STOMP data to Gidb (the transmission database) to support various past projects and enable the quick processing of future STOMP data for other projects,,,,,,,APC,PDDA-T,Emily Boles,APC,,,,,,,,,,
Substation Infrastructure App,TRN-0023,Transmission Analytics,Transmission,Substation Infrastructure App,Substations,Scoping,Application that allows for office or field use providing Data Analytics to those who maintain substation assets.,,,,,Jon Schinker,,APC,Transmission Engineering Services,Arther Burrell,APC,,,,,TBD,,,,,
Survey/Mapping Project Book,TRN-0028,Transmission Analytics,Transmission,Survey/Mapping Project Book,Engineering Workload,In Development,Project dashboard for APC Survey team to monitor and manage workload.,,,,,,,APC,Survey,Shea Serian,APC,,2024-09-01,,,https://outsystems.southernco.com/SURVEYPROJECTS/,https://outsystems.southernco.com/SURVEYPROJECTS/,,,,
TEAMS Data Integration,TRN-XX21,Transmission Analytics,Transmission,TEAMS Data Integration,Transmission,Done - Deployed without Maintenance,Adding in TEAMS data to Gidb (the transmission database) to support various past projects and enable the quick processing of future TEAMS data for other projects,,,,,,,APC,PDDA-T,Emily Boles,APC,,,,,,,,,,
